Region,CO2 Emissions
Africa,"1,874"
Africa,880
Africa,"93,138"
Africa,682
Africa,66
Africa,"5,013"
Africa,557
Africa,653
Africa,576
Africa,"380,811"
Africa,null
Africa,"9,072"
Africa,"1,041"
Africa,"3,806"
Africa,"1,463"
Africa,"21,397"
Africa,"1,709"
Africa,"2,101"
Africa,"10,627"
Asia,583
Asia,"3,429"
Asia,"30,616"
Asia,"33,883"
Asia,378
Asia,"5,357"
Asia,"2,380"
Asia,"4,525,177"
Asia,"3,773"
Asia,"40,066"
Asia,"1,281,914"
Asia,"316,792"
Asia,"1,237,429"
Asia,"153,816"
Asia,"77,777"
Asia,"466,215"
Asia,"5,328"
Asia,"1,129"
Asia,"1,536"
Asia,"160,266"
Asia,598
Asia,"8,034"
Asia,"9,846"
Asia,"2,952"
Asia,"118,895"
Asia,"71,532"
Asia,"31,133"
Asia,"10,660"
Asia,"2,076"
Asia,"232,198"
Asia,161
Asia,"42,215"
Asia,"122,683"
Asia,"78,767"
Europe,"4,294"
Europe,535
Europe,"72,317"
Europe,"53,722"
Europe,"114,836"
Europe,"23,238"
Europe,"47,308"
Europe,"23,542"
Europe,"7,748"
Europe,"122,379"
Europe,"55,735"
Europe,"17,052"
Europe,777
Europe,"68,888"
Europe,"387,591"
Europe,"833,406"
Europe,"95,738"
Europe,"59,072"
Europe,"2,167"
Europe,"43,337"
Europe,null
Europe,"468,349"
Europe,null
Europe,"7,088"
Europe,null
Europe,"12,915"
Europe,"9,905"
Europe,"11,309"
Europe,"2,582"
Europe,"4,290"
Europe,null
Europe,null
Europe,"175,041"
Europe,"42,625"
Europe,"304,856"
Europe,"61,276"
Europe,"95,940"
Europe,"1,604,973"
Europe,null
Europe,null
Europe,"39,494"
Europe,"15,500"
Europe,"321,097"
Europe,"54,781"
Europe,"40,205"
Europe,"218,509"
Europe,"352,259"
Europe,"540,640"
Middle East,"16,468"
Middle East,"418,859"
Middle East,"91,118"
Middle East,"65,122"
Middle East,"17,470"
Middle East,"61,657"
Middle East,"18,221"
Middle East,"32,391"
Middle East,"36,157"
Middle East,"327,272"
Middle East,"54,286"
Middle East,"106,842"
Middle East,"17,305"
Oceania,null
Oceania,"346,476"
Oceania,862
Oceania,799
Oceania,null
Oceania,40
Oceania,84
Oceania,147
Oceania,"2,750"
Oceania,"33,938"
Oceania,"3,968"
Oceania,150
Oceania,180
Oceania,176
Oceania,81
The Americas,389
The Americas,"133,127"
The Americas,"2,255"
The Americas,"1,518"
The Americas,"1,269"
The Americas,374
The Americas,510
The Americas,"14,129"
The Americas,"321,622"
The Americas,"553,185"
The Americas,480
The Americas,"55,078"
The Americas,"57,422"
The Americas,"6,626"
The Americas,"25,486"
The Americas,null
The Americas,114
The Americas,"21,888"
The Americas,"26,523"
The Americas,"6,553"
The Americas,532
The Americas,216
The Americas,"10,502"
The Americas,"1,566"
The Americas,"1,734"
The Americas,"6,769"
The Americas,"10,722"
The Americas,"405,633"
The Americas,"4,411"
The Americas,"6,153"
The Americas,"4,070"
The Americas,"26,380"
The Americas,null
The Americas,null
The Americas,220
The Americas,359
The Americas,null
The Americas,194
The Americas,"2,241"
The Americas,"27,697"
The Americas,103
The Americas,"5,681,664"
The Americas,"4,598"
The Americas,"192,103"
Africa,"89,493"
Africa,"18,793"
Africa,"2,512"
Africa,"4,378"
Africa,"1,104"
Africa,198
Africa,"3,957"
Africa,213
Africa,378
Africa,103
Africa,"1,936"
Africa,"1,181"
Africa,"7,664"
Africa,458
Africa,"150,912"
Africa,"5,218"
Africa,770
Africa,"5,244"
Africa,"1,767"
Africa,323
Africa,"7,349"
Africa,"1,342"
Africa,202
Africa,"7,624"
Africa,null
Africa,627
Africa,"50,359"
Africa,"1,808"
Africa,975
Africa,565
Africa,"1,632"
Africa,"3,194"
Africa,"43,311"
Africa,"1,922"
Africa,"1,962"
Africa,964
Africa,"97,047"
Africa,689
Africa,73
Africa,"5,280"
Africa,744
Africa,642
Africa,576
Africa,"427,132"
Africa,null
Africa,"11,382"
Africa,"1,030"
Africa,"4,353"
Africa,"1,397"
Africa,"22,446"
Africa,"1,852"
Africa,"2,131"
Africa,"9,927"
Asia,733
Asia,"3,645"
Asia,"32,090"
Asia,"39,750"
Asia,308
Asia,"5,361"
Asia,"2,446"
Asia,"5,288,166"
Asia,"4,323"
Asia,"38,415"
Asia,"1,348,525"
Asia,"337,635"
Asia,"1,259,655"
Asia,"172,158"
Asia,"79,482"
Asia,"482,277"
Asia,"5,699"
Asia,"1,423"
Asia,"1,727"
Asia,"167,333"
Asia,777
Asia,"8,551"
Asia,"12,435"
Asia,"2,769"
Asia,"131,601"
Asia,"74,066"
Asia,"28,474"
Asia,"11,965"
Asia,"2,563"
Asia,"252,345"
Asia,176
Asia,"43,337"
Asia,"119,306"
Asia,"90,549"
Europe,"4,166"
Europe,565
Europe,"71,866"
Europe,"58,038"
Europe,"111,282"
Europe,"24,617"
Europe,"46,787"
Europe,"23,047"
Europe,"7,334"
